,prefix,input_text,target_text
0,DART,"Estádio_Municipal_Coaracy_da_Mata_Fonseca | location | Arapiraca && Agremiação_Sportiva_Arapiraquense | league | Campeonato_Brasileiro_Série_C && Campeonato_Brasileiro_Série_C | country | Brazil && Agremiação_Sportiva_Arapiraquense | nickname | ""''Alvinegro"" && Agremiação_Sportiva_Arapiraquense | ground | Estádio_Municipal_Coaracy_da_Mata_Fonseca","Estádio Municipal Coaracy da Mata Fonseca is the name of the ground of Agremiação Sportiva Arapiraquense in Arapiraca. Agremiação Sportiva Arapiraquense, nicknamed ""Alvinegro"", lay in the Campeonato Brasileiro Série C league from Brazil."
1,DART,"Estádio_Municipal_Coaracy_da_Mata_Fonseca | location | Arapiraca && Agremiação_Sportiva_Arapiraquense | league | Campeonato_Brasileiro_Série_C && Campeonato_Brasileiro_Série_C | country | Brazil && Agremiação_Sportiva_Arapiraquense | nickname | ""''Alvinegro"" && Agremiação_Sportiva_Arapiraquense | ground | Estádio_Municipal_Coaracy_da_Mata_Fonseca","Estádio Municipal Coaracy da Mata Fonseca is the name of the ground of Agremiação Sportiva Arapiraquense in Arapiraca. Alvinegro, the nickname of Agremiação Sportiva Arapiraquense, play in the Campeonato Brasileiro Série C league from Brazil."
2,DART,Nie_Haisheng | birthDate | 1964-10-13 && Nie_Haisheng | occupation | Fighter_pilot && Nie_Haisheng | birthDate | 1964-10-13 && Nie_Haisheng | occupation | Fighter_pilot,"Nie Haisheng, born on October 13, 1964, worked as a fighter pilot."
3,DART,Nie_Haisheng | birthDate | 1964-10-13 && Nie_Haisheng | occupation | Fighter_pilot && Nie_Haisheng | birthDate | 1964-10-13 && Nie_Haisheng | occupation | Fighter_pilot,"Nie Haisheng is a former fighter pilot who was born on October 13, 1964."
4,DART,Nie_Haisheng | birthDate | 1964-10-13 && Nie_Haisheng | occupation | Fighter_pilot && Nie_Haisheng | birthDate | 1964-10-13 && Nie_Haisheng | occupation | Fighter_pilot,Nie Haisheng born on 10/13/1964 is a fighter pilot.
5,DART,MotorSport_Vision | locationCity | Fawkham && MotorSport_Vision | city | Fawkham,MotorSport Vision is located in the city of Fawkham.
6,DART,MotorSport_Vision | locationCity | Fawkham && MotorSport_Vision | city | Fawkham,"MotorSport Vision is located in the city of Fawkham, UK."
7,DART,MotorSport_Vision | locationCity | Fawkham && MotorSport_Vision | city | Fawkham,MotorSport Vision is located in Fawkham.
8,DART,FC_Spartak_Moscow | ground | Otkrytiye_Arena && Aleksandr_Prudnikov | clubs | FC_Spartak_Moscow && Aleksandr_Prudnikov | height | 185.0 (centimetres) && FC_Spartak_Moscow | ground | Otkrytiye_Arena && Aleksandr_Prudnikov | club | FC_Spartak_Moscow,"185 centimetre tall Aleksandr Prudnikov played for the Otkrytiye Arena based FC Spartak, Moscow."
9,DART,FC_Spartak_Moscow | ground | Otkrytiye_Arena && Aleksandr_Prudnikov | clubs | FC_Spartak_Moscow && Aleksandr_Prudnikov | height | 185.0 (centimetres) && FC_Spartak_Moscow | ground | Otkrytiye_Arena && Aleksandr_Prudnikov | club | FC_Spartak_Moscow,The 185 cm tall Aleksandr Prudnikov plays for FC Spartak Moscow who call their home ground Otkrytiye Arena.
10,DART,FC_Spartak_Moscow | ground | Otkrytiye_Arena && Aleksandr_Prudnikov | clubs | FC_Spartak_Moscow && Aleksandr_Prudnikov | height | 185.0 (centimetres) && FC_Spartak_Moscow | ground | Otkrytiye_Arena && Aleksandr_Prudnikov | club | FC_Spartak_Moscow,"Aleksandr Prudnikov who is 185 cm tall, plays for FC Spartak Moscow whose ground is the Otkrytiye Arena."
11,DART,"Ciudad_Ayala | populationMetro | 1777539 && Ciudad_Ayala | leaderTitle | ""City Manager"" && Ciudad_Ayala | type | City && Ciudad_Ayala | populationDensity | 1604.0 && Ciudad_Ayala | governmentType | Council-manager_government","Ciudad Ayala is a city with population density and population of 1604 and 1777539 respectively, where the leader is called the City Manager. The government type in the city of Ciudad Ayala is council-manager."
12,DART,"Ciudad_Ayala | populationMetro | 1777539 && Ciudad_Ayala | leaderTitle | ""City Manager"" && Ciudad_Ayala | type | City && Ciudad_Ayala | populationDensity | 1604.0 && Ciudad_Ayala | governmentType | Council-manager_government","The city of Ciudad Ayala, with a population of 1,777,539, is led by a City Manager on a council-manager government system. It has a population density of 1604."
